
Gurobi 11.0.3 (linux64, Java) logging started seg 16 dez 2024 14:41:39 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 5.5922415627952831e-08
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 146159 rows, 100136 columns and 1217161 nonzeros
Model fingerprint: 0x36843444
Model has 228 quadratic constraints
Variable types: 49958 continuous, 50178 integer (223 binary)
Coefficient statistics:
  Matrix range     [4e-03, 4e+06]
  QMatrix range    [4e-03, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [1e+00, 4e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 9e+05]
  QRHS range       [2e-01, 2e-01]
Presolve removed 144661 rows and 98208 columns
Presolve time: 0.67s
Presolved: 2355 rows, 2197 columns, 239097 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 223 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 720 continuous, 1477 integer (225 binary)
Found heuristic solution: objective 3824045.5664

Root relaxation: objective 2.544202e+05, 346 iterations, 0.05 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4600  3211 262760.807  206  237 341851.421 262744.514  23.1%   7.4  238s
  4702  3284 262762.839  230  237 341851.421 262744.514  23.1%   7.3  253s
  4809  3359 262764.765  256  237 341851.421 262744.514  23.1%   7.2  268s
  4920  3435 262767.122  282  237 341851.421 262744.514  23.1%   7.0  281s
  5033  3526 262769.255  309  237 341851.421 262744.514  23.1%   6.9  298s
  5161  3621 262771.707  340  237 341851.421 262744.514  23.1%   6.8  312s
  5299  3718 262774.366  373  237 341851.421 262744.514  23.1%   6.7  333s
  5442  3821 262775.048  407  236 341851.421 262744.514  23.1%   6.6  355s
  5593  3926 262776.156  443  235 341851.421 262744.514  23.1%   6.4  377s
H 5748  3899                    341850.08352 262744.514  23.1%   6.3  397s
  5910  4003 262777.921  520  225 341850.084 262744.514  23.1%   6.1  414s
  6068  4123 262777.955  558  225 341850.084 262744.514  23.1%   6.0  436s
  6242  4296 262784.936  598  226 341850.084 262744.514  23.1%   6.0  456s
  6477  4477 263685.626  675  224 341850.084 262744.514  23.1%   5.9  480s
  6753  4734 265481.262  770  223 341850.084 262744.514  23.1%   5.9  501s
  7108  4956 266372.296  858  223 341850.084 262744.514  23.1%   5.9  522s
  7456  5158 267731.376  945  222 341850.084 262744.514  23.1%   5.9  547s
H 7612  4977                    337905.84998 262744.514  22.2%   5.9  547s
  7776  5215 269016.924 1023  224 337905.850 262744.514  22.2%   5.9  567s
  8097  5424 271720.857 1096  222 337905.850 262744.514  22.2%   6.2  594s
H 8480  5576                    337428.67045 262744.514  22.1%   6.1  618s
  8887  5826 280993.779 1278  221 337428.670 262744.514  22.1%   5.9  640s
  9273  6121 282155.218 1363  221 337428.670 262744.514  22.1%   5.8  669s
  9701  6327 286313.810 1470  222 337428.670 262744.545  22.1%   5.8  691s
 10094  6468 262758.557   98  244 337428.670 262745.423  22.1%   5.9  715s
 10371  6665 263014.945  167  175 337428.670 262745.423  22.1%   5.8  742s
 10661  6809 263016.194  234  165 337428.670 262745.423  22.1%   5.8  764s
 10906  7014 263270.760  298  166 337428.670 262745.423  22.1%   5.7  790s
 11195  7327 263273.983  369  164 337428.670 262745.423  22.1%   5.7  815s
 11553  7686 263279.138  439  162 337428.670 262745.423  22.1%   5.7  842s
 11913  8019 263285.229  510  163 337428.670 262745.423  22.1%   5.7  866s
 12246  8362 263291.625  574  162 337428.670 262745.423  22.1%   5.7  890s
 12589  8687 263298.272  641  163 337428.670 262745.423  22.1%   5.7  915s
 12923  8986 263305.153  709  163 337428.670 262745.423  22.1%   5.7  939s
 13230  9276 263377.938  775  164 337428.670 262745.423  22.1%   5.6  959s
 13531  9634 263823.329  842  162 337428.670 262745.423  22.1%   5.6  985s
 13912  9918 264072.427  935  156 337428.670 262745.423  22.1%   5.5 1012s
 14223 10167 264672.957  993  153 337428.670 262745.423  22.1%   5.6 1037s
 14561 10431 266244.920 1078  221 337428.670 262745.423  22.1%   5.7 1062s
 14934 10828 269006.835 1166  220 337428.670 262745.423  22.1%   5.8 1085s
 15341 11236 270312.549 1268  220 337428.670 262745.423  22.1%   5.7 1112s
 15757 11639 272392.775 1368  218 337428.670 262745.423  22.1%   5.7 1139s
H16168 11892                    298260.40777 262745.423  11.9%   5.7 1163s
 16552 11937     cutoff 1556      298260.408 262745.427  11.9%   5.7 1187s
H16553 11937                    298260.32976 262745.427  11.9%   5.7 1187s
 16843 12264 262910.686  102  178 298260.330 262746.499  11.9%   5.7 1209s
 17172 12597 262912.391  189  167 298260.330 262746.499  11.9%   5.6 1227s
 17505 12938 262915.206  272  162 298260.330 262746.499  11.9%   5.5 1247s
 17846 13223 262920.847  362  162 298260.330 262746.499  11.9%   5.4 1266s
 18131 13479 262925.366  427  159 298260.330 262746.499  11.9%   5.4 1286s
 18387 13739 262928.204  467  159 298260.330 262746.499  11.9%   5.3 1305s
 18647 14007 262931.115  509  159 298260.330 262746.499  11.9%   5.2 1323s
 18915 14252 262934.402  552  159 298260.330 262746.499  11.9%   5.2 1342s
 19160 14520 262937.496  591  160 298260.330 262746.499  11.9%   5.1 1363s
 19428 14768 263014.471  633  158 298260.330 262746.499  11.9%   5.1 1385s
 19676 15042 263017.518  671  159 298260.330 262746.499  11.9%   5.0 1411s
H19766 14874                    295736.26936 262746.499  11.2%   5.0 1411s
 19950 15104 263021.587  716  159 295736.269 262746.499  11.2%   5.0 1432s
H20025 15104                    295736.18014 262746.499  11.2%   5.0 1432s
 20180 15358 263163.172  753  159 295736.180 262746.499  11.2%   4.9 1454s
 20434 15602 263238.195  800  159 295736.180 262746.499  11.2%   4.9 1472s
 20678 15834 263243.704  846  159 295736.180 262746.499  11.2%   4.9 1498s
 20914 16062 263249.229  893  159 295736.180 262746.499  11.2%   4.9 1520s
 21146 16268 263252.401  938  154 295736.180 262746.499  11.2%   4.8 1542s
 21352 16480 263351.141  985  155 295736.180 262746.499  11.2%   4.8 1565s
 21576 16695 263476.774 1036  157 295736.180 262746.499  11.2%   4.8 1586s
